alg,frame1,frame2,seconds,hd
none,1,0,0,5.0019
FM2D,1,0,0.567732,5.00485
FM3D,1,0,15.9441,5.0019
ICP,1,0,0.465237,4.7115
PCA,1,0,0.000588,5.67917
FVR,1,0,18.4753,5.30213
FVR3D,1,0,37.9843,8.68076
FVR3D-2,1,0,20.2091,4.93267
FFVR,1,0,4.69483,5.12378
none,2,1,0,5.2679
FM2D,2,1,0.551638,5.43414
FM3D,2,1,15.8565,5.2679
ICP,2,1,0.659649,4.97513
PCA,2,1,0.000679,6.41151
FVR,2,1,18.6285,5.22299
FVR3D,2,1,38.0821,5.01053
FVR3D-2,2,1,19.9746,4.90824
FFVR,2,1,4.69914,4.8758
none,3,2,0,4.61588
FM2D,3,2,0.552812,4.11429
FM3D,3,2,15.9904,4.61588
ICP,3,2,0.500313,4.19271
PCA,3,2,0.000597,4.31113
FVR,3,2,18.484,3.91882
FVR3D,3,2,38.136,4.82674
FVR3D-2,3,2,19.9174,3.93248
FFVR,3,2,4.64862,4.15126
none,4,3,0,4.16803
FM2D,4,3,0.521662,3.41672
FM3D,4,3,15.8936,4.16803
ICP,4,3,0.840502,3.28763
PCA,4,3,0.000614,3.74408
FVR,4,3,18.7071,3.4988
FVR3D,4,3,37.7668,4.727
FVR3D-2,4,3,20.3051,3.49027
FFVR,4,3,4.69273,3.55394
none,5,4,0,3.85516
FM2D,5,4,0.527251,3.57411
FM3D,5,4,15.8749,3.85516
ICP,5,4,0.734189,3.77114
PCA,5,4,0.00062,3.94937
FVR,5,4,18.6023,4.58159
FVR3D,5,4,38.2408,4.27005
FVR3D-2,5,4,19.7498,3.97817
FFVR,5,4,4.70923,3.47752
none,6,5,0,3.91967
FM2D,6,5,0.544778,3.50072
FM3D,6,5,16.0361,3.91967
ICP,6,5,0.527339,3.31783
PCA,6,5,0.000607,3.86038
FVR,6,5,18.5004,4.59958
FVR3D,6,5,37.8082,4.02069
FVR3D-2,6,5,20.2708,3.43173
FFVR,6,5,4.70303,3.55733
none,7,6,0,4.25314
FM2D,7,6,0.557409,4.22011
FM3D,7,6,15.8713,4.25314
ICP,7,6,0.530168,3.78114
PCA,7,6,0.000622,4.25145
FVR,7,6,18.7949,4.77072
FVR3D,7,6,37.9329,5.31385
FVR3D-2,7,6,19.6902,4.06992
FFVR,7,6,4.72439,3.91009
none,8,7,0,3.51208
FM2D,8,7,0.561601,3.16275
FM3D,8,7,15.8954,3.51208
ICP,8,7,0.892439,3.04116
PCA,8,7,0.000606,3.66412
FVR,8,7,18.6269,4.35757
FVR3D,8,7,38.0072,3.54872
FVR3D-2,8,7,19.6899,3.08615
FFVR,8,7,4.66521,3.29864
none,9,8,0,3.836
