data name, algorithm name, description, frame-index 1, frame-index 2, error-added, seconds, mse
Apartment.Texture.rotateXAxis,none,regular,5,4,0,0,7.32376e-06
Apartment.Texture.rotateXAxis,none,regular,6,5,0,0,7.24948e-06
Apartment.Texture.rotateXAxis,none,regular,7,6,0,0,7.38358e-06
Apartment.Texture.rotateXAxis,none,regular,8,7,0,0,5.44167e-06
Apartment.Texture.rotateXAxis,none,regular,9,8,0,0,7.35105e-06
Apartment.Texture.rotateXAxis,none,regular,10,9,0,0,7.35247e-06
Apartment.Texture.rotateXAxis,none,regular,11,10,0,0,6.22156e-06
Apartment.Texture.rotateXAxis,none,regular,12,11,0,0,6.74257e-06
Apartment.Texture.rotateXAxis,none,regular,13,12,0,0,7.55108e-06
Apartment.Texture.rotateXAxis,none,regular,14,13,0,0,6.3526e-06
Apartment.Texture.rotateXAxis,none,regular,15,14,0,0,6.87184e-06
Apartment.Texture.rotateXAxis,none,regular,16,15,0,0,5.32007e-06
Apartment.Texture.rotateXAxis,none,regular,17,16,0,0,6.15442e-06
Apartment.Texture.rotateXAxis,none,regular,18,17,0,0,5.89325e-06
Apartment.Texture.rotateXAxis,none,regular,19,18,0,0,7.43474e-06
Apartment.Texture.rotateXAxis,none,regular,20,19,0,0,7.5471e-06
Apartment.Texture.rotateXAxis,none,regular,21,20,0,0,6.54922e-06
Apartment.Texture.rotateXAxis,none,regular,22,21,0,0,6.83384e-06
Apartment.Texture.rotateXAxis,none,regular,23,22,0,0,5.89963e-06
Apartment.Texture.rotateXAxis,none,regular,24,23,0,0,4.89123e-06
Apartment.Texture.rotateXAxis,none,regular,25,24,0,0,5.43284e-06
Apartment.Texture.rotateXAxis,none,regular,26,25,0,0,5.03141e-06
Apartment.Texture.rotateXAxis,none,regular,27,26,0,0,5.82264e-06
Apartment.Texture.rotateXAxis,none,regular,28,27,0,0,5.72894e-06
Apartment.Texture.rotateXAxis,none,regular,29,28,0,0,4.91493e-06
Apartment.Texture.rotateXAxis,none,regular,5,4,0,0,0.00186756
Apartment.Texture.rotateXAxis,none,regular,6,5,0,0,0.00184862
Apartment.Texture.rotateXAxis,none,regular,7,6,0,0,0.00188281
Apartment.Texture.rotateXAxis,none,regular,8,7,0,0,0.00138763
Apartment.Texture.rotateXAxis,none,regular,9,8,0,0,0.00187452
Apartment.Texture.rotateXAxis,none,regular,10,9,0,0,0.00187488
Apartment.Texture.rotateXAxis,none,regular,11,10,0,0,0.0015865
Apartment.Texture.rotateXAxis,none,regular,12,11,0,0,0.00171936
Apartment.Texture.rotateXAxis,none,regular,13,12,0,0,0.00192552
Apartment.Texture.rotateXAxis,none,regular,14,13,0,0,0.00161991
Apartment.Texture.rotateXAxis,none,regular,15,14,0,0,0.00175232
Apartment.Texture.rotateXAxis,none,regular,16,15,0,0,0.00135662
Apartment.Texture.rotateXAxis,none,regular,5,4,0,0,1.86756
Apartment.Texture.rotateXAxis,none,regular,6,5,0,0,1.84862
Apartment.Texture.rotateXAxis,none,regular,7,6,0,0,1.88281
Apartment.Texture.rotateXAxis,none,regular,8,7,0,0,1.38763
Apartment.Texture.rotateXAxis,none,regular,9,8,0,0,1.87452
Apartment.Texture.rotateXAxis,none,regular,10,9,0,0,1.87488
Apartment.Texture.rotateXAxis,none,regular,11,10,0,0,1.5865
Apartment.Texture.rotateXAxis,none,regular,12,11,0,0,1.71936
Apartment.Texture.rotateXAxis,none,regular,13,12,0,0,1.92552
Apartment.Texture.rotateXAxis,none,regular,14,13,0,0,1.61991
Apartment.Texture.rotateXAxis,none,regular,15,14,0,0,1.75232
Apartment.Texture.rotateXAxis,none,regular,16,15,0,0,1.35662
Apartment.Texture.rotateXAxis,none,regular,17,16,0,0,1.56938
Apartment.Texture.rotateXAxis,none,regular,18,17,0,0,1.50278
Apartment.Texture.rotateXAxis,none,regular,19,18,0,0,1.89586
Apartment.Texture.rotateXAxis,none,regular,20,19,0,0,1.92451
Apartment.Texture.rotateXAxis,none,regular,21,20,0,0,1.67005
Apartment.Texture.rotateXAxis,none,regular,22,21,0,0,1.74263
Apartment.Texture.rotateXAxis,none,regular,23,22,0,0,1.50441
Apartment.Texture.rotateXAxis,none,regular,24,23,0,0,1.24726
Apartment.Texture.rotateXAxis,none,regular,25,24,0,0,1.38537
Apartment.Texture.rotateXAxis,none,regular,26,25,0,0,1.28301
Apartment.Texture.rotateXAxis,none,regular,27,26,0,0,1.48477
Apartment.Texture.rotateXAxis,none,regular,28,27,0,0,1.46088
Apartment.Texture.rotateXAxis,none,regular,29,28,0,0,1.25331
