alg,frame1,frame2,seconds,hd
FVR3D,13,12,38.5926,5.46789
FVR3D,14,13,38.4661,4.48036
FVR3D,15,14,38.862,3.81563
FVR3D,16,15,38.8256,2.339
FVR3D,17,16,39.627,2.99986
FVR3D,18,17,40.5503,4.64855
FVR3D,19,18,40.3167,3.734
FVR3D,20,19,40.3499,4.3717
FVR3D,21,20,39.4432,4.03281
FVR3D,22,21,39.3856,3.31243
FVR3D,23,22,39.0356,2.65619
FVR3D,24,23,39.1176,6.24629
FVR3D,25,24,39.6423,1.77117
FVR3D,26,25,44.0986,1.93709
FVR3D,27,26,39.1009,3.09
FVR3D,28,27,39.8335,13.2325
FVR3D,29,28,38.7172,23.2896
FVR3D-2,5,4,32.293,1.1899
FVR3D-2,6,5,27.5612,0.702767
FVR3D-2,7,6,42.9454,748.807
FVR3D-2,8,7,44.8794,1.96355
FVR3D-2,9,8,41.3864,0.688296
FVR3D-2,10,9,31.8873,0.548802
FVR3D-2,11,10,44.5671,0.515289
FVR3D-2,12,11,36.9401,0.891614
FVR3D-2,13,12,39.3143,0.553773
FVR3D-2,14,13,51.9672,0.904716
FVR3D-2,15,14,35.555,1.02437
FVR3D-2,16,15,40.2943,1.79747
FVR3D-2,17,16,23.81,1.85681
FVR3D-2,18,17,37.4296,2.02297
FVR3D-2,19,18,28.7245,3.18447
FVR3D-2,20,19,29.3371,4.23624
FVR3D-2,21,20,43.3137,2.89089
FVR3D-2,22,21,38.4794,0.85962
FVR3D-2,23,22,38.1012,1.73983
FVR3D-2,24,23,47.3927,1.96167
FVR3D-2,25,24,23.6644,1.16691
FVR3D-2,26,25,37.8323,0.790665
FVR3D-2,27,26,28.6073,1.7998
FVR3D-2,28,27,28.5318,1.12032
FVR3D-2,29,28,37.9882,2.54309
FFVR,5,4,4.85624,0.314488
FFVR,6,5,4.7484,0.44135
FFVR,7,6,4.66878,7.55161
FFVR,8,7,4.64649,1.87795
FFVR,9,8,4.64391,0.628425
FFVR,10,9,4.64817,0.606624
FFVR,11,10,4.64449,0.452338
FFVR,12,11,4.65171,0.513309
FFVR,13,12,4.64904,0.566739
FFVR,14,13,4.64466,0.687548
FFVR,15,14,4.64951,0.866378
FFVR,16,15,4.7914,11.068
FFVR,17,16,4.92977,8.4136
FFVR,18,17,4.96792,2.14202
FFVR,19,18,4.84231,3.62166
FFVR,20,19,4.73529,3.59773
FFVR,21,20,4.7475,3.25814
FFVR,22,21,4.8404,0.649298
FFVR,23,22,4.75987,1.44975
FFVR,24,23,4.66794,2.94829
FFVR,25,24,4.64938,0.832164
FFVR,26,25,4.6426,0.563179
FFVR,27,26,4.64391,1.32233
FFVR,28,27,4.64273,0.579044
FFVR,29,28,4.65108,1.95677
