Apartment.Texture.rotate
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
5.86009, 4.53111, 5.32143, 4.29687, 5.99913, 5.24019, 6.02686, 5.67967
4.3722, 3.72718, 5.54901, 4.06952, 4.42913, 4.31241, 7.11849, 3.78986
5.40335, 5.14908, 8.81957, 4.71556, 5.25184, 5.2709, 4.99037, 4.87439
5.81561, 4.26747, 4.52334, 4.52271, 5.74315, 4.73472, 6.72451, 4.77879
12.9301, 3.75545, 47.524, 4.37273, 7.83098, 4.09885, 7.59407, 4.0201
3.98529, 3.44127, 3.93328, 3.46593, 3.83594, 4.44204, 3.86511, 3.93585
10.1308, 7.83978, 9.57417, 7.65488, 10.6517, 8.67344, 10.4675, 8.72293
5.17167, 4.28902, 10.9171, 4.41887, 5.70788, 7.25029, 10961.1, 8068.3
4.97848, 3.63922, 3.62536, 3.672, 4.97566, 3.71631, 6.10351, 3.98851
4.56002, 3.26219, 4.5617, 3.33393, 4.52243, 4.04508, 12.1961, 3.49691
5.84705, 3.5431, 7.11531, 3.58457, 5.15337, 3.76779, 7.9841, 3.63606
4.70189, 3.37801, 23.8039, 3.41869, 4.7434, 3.75473, 7.48301, 3.58707
9.11403, 4.45603, 4.31838, 4.39918, 8.62421, 4.25666, 9.02168, 4.20924
5.71511, 3.74044, 3.97766, 3.7943, 5.77393, 4.06248, 21.2559, 3.99832
4.14459, 3.06878, 2.98945, 3.0574, 4.0872, 2.97121, 10.8506, 3.07298
6.37144, 3.21782, 3.50583, 4.06796, 6.11059, 3.23442, 14.4056, 3.26752
23.0864, 16.9026, 30.9835, 16.2428, 26.5293, 17.249, 19.3746, 16.8634
6.15673, 3.07137, 3.60777, 2.90136, 6.23209, 2.85306, 4.28294, 2.95776

Office.Texture.Translation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
2.29581, 2.23373, 5.27336, 2.22286, 2.30016, 2.36953, 2.62672, 2.153
4.66889, 3.01182, 9.34682, 2.9086, 4.65451, 3.21278, 7.13611, 3.13941
3.9996, 2.83576, 8.59769, 2.65338, 4.09562, 3.95033, 8.69471, 2.65288
12.589, 8.98095, 15.5985, 4.49578, 11.4363, 6.86655, 26.4842, 4.66068
5.35046, 4.58945, 5.67977, 4.3483, 5.24253, 5.41678, 40.9669, 4.80711
13.8202, 10.1684, 8.10917, 8.71964, 15.2344, 7.79556, 22.0417, 8.17755
9.00078, 6.60191, 6.53429, 5.42663, 10.2676, 15.5746, 16.5037, 5.53466
9.891, 6.33498, 13.4615, 9.09761, 9.4862, 8.39449, 3455.69, 2511.41
29.6519, 26.7823, 36.0659, 26.6793, 29.5845, 28.2176, 1868.87, 2543.75
14.8272, 8.178, 19.6758, 6.92403, 15.1143, 8.53157, 7033.83, 7.37306
46.9394, 35.9486, 33.2725, 30.5821, 41.964, 64.8427, 39.8884, 28.2544
59.8043, 48.071, 32.8021, 41.1067, 55.9005, 41.2652, 90.3129, 43.8988
23.835, 19.5854, 30.9432, 18.3342, 23.4093, 18.8614, 29.4584, 21.3873
23.0059, 8.76843, 25.6556, 6.65671, 23.0806, 8.65337, 65.3423, 6.78496
24.0494, 7.47424, 7.82902, 6.51592, 24.2887, 6.51267, 12.6005, 6.60581
14.2087, 11.6764, 51.4211, 10.7982, 13.4709, 26.1713, 21.9902, 11.4958
10.7672, 11.4558, 8.63756, 5.83138, 10.8938, 5.99129, 6.33947, 5.71985
11.677, 16.2262, 22.459, 9.82354, 11.0075, 9.89256, 7901.57, 1854.77
21.5451, 20.6503, 23.9794, 18.5786, 20.5112, 24.5384, 13263.0, 2472.6
4.76633, 3.8565, 4.82635, 3.99582, 4.82892, 3.82762, 7.54784, 3.99399
6.54787, 7.03668, 107.968, 4.93345, 6.43752, 7.26895, 7.72712, 5.0032
4.75987, 3.55397, 39.9095, 3.60192, 4.66364, 4.19599, 5.31454, 3.4093
4.74931, 4.33613, 15.8176, 4.73193, 4.61824, 5.60718, 5.84659, 4.26241
6.69283, 3.62177, 4.59712, 3.64593, 6.6122, 3.5935, 1136.01, 4026.85
7.79759, 3.50176, 3.56952, 3.48033, 6.22155, 4.43899, 3.77706, 3.49078

Office.TexturedItems.Translation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
3.83427, 2.57933, 2.72076, 2.71466, 3.85779, 2.75639, 3.69175, 2.6182
2.76603, 2.21982, 87.3391, 2.15914, 2.73684, 2.17602, 2.79467, 2.15164
7.00976, 2.8836, 3.1237, 3.59916, 7.29603, 3.03494, 4.65759, 4.71328
3.11641, 1.86985, 1.97075, 1.87859, 3.07231, 1.87862, 4.49381, 1.87198
3.12088, 2.31696, 8638.77, 2.38756, 3.04682, 2.41581, 3.34717, 2.30464
8.16122, 3.54634, 4.13785, 3.44094, 7.84909, 3.5961, 5.85611, 3.57154
3.85941, 1.78187, 3.1581, 1.97792, 3.49625, 1.84687, 2.11028, 1.81443
2.21056, 2.14762, 2.59966, 2.01782, 2.20745, 2.21378, 2.30406, 1.95467
5.87677, 2.53759, 3.53378, 2.80881, 6.87529, 2.88309, 2.85122, 2.43361
2.09036, 2.01692, 2.02348, 1.97273, 2.05175, 2.07999, 2.37409, 1.92535
4.22543, 2.00326, 6.0354, 2.01274, 4.27047, 1.97282, 2.02746, 2.04202
5.75214, 3.96479, 64.7603, 2.9976, 6.48232, 3.0184, 4.07562, 3.02274
3.237, 2.3819, 17.1784, 2.20829, 3.14297, 2.51706, 2.49175, 2.22536
4.57847, 1.98428, 2.16032, 1.85478, 4.53209, 2.1445, 2.29054, 1.90889
4.42129, 5.22879, 9460.48, 4.48471, 4.38645, 4.78886, 5.04333, 4.5591
8.253, 4.7193, 12551.9, 5.87624, 8.1677, 4.76196, 5.53152, 5.0031
2.3632, 2.17262, 2.55814, 2.1201, 2.41352, 2.42906, 2.58476, 2.1486
9.28587, 4.45288, 4.79368, 4.56579, 8.43442, 4.26535, 4.61723, 3.76205
6.39901, 5.61216, 9.37368, 5.14513, 5.78342, 5.58562, 5.60754, 5.48785
6.49002, 4.71973, 9440.03, 6.62694, 6.56877, 5.31424, 9.83693, 5.32865
8.56807, 6.63536, 30.7088, 6.70942, 8.9084, 9.16114, 15.6899, 6.31587
12.6986, 14.701, 13.2139, 12.2173, 13.6616, 13.6556, 5126.55, 11574.9
3.46154, 4.22019, 3.50957, 2.83838, 3.77739, 4.79734, 8.14367, 3.09831
12.1162, 6.80207, 12.6591, 5.68602, 12.7262, 8.17256, 12.5219, 9.7485
7.86915, 4.83765, 5.90306, 4.7195, 8.91556, 6.75009, 52.6493, 5.3068

OfficeDesk.Texture.rotationLift
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.325034, 0.345997, 0.53711, 0.306133, 0.320276, 0.322775, 4.03031, 1.19545
0.698021, 0.432862, 1.24836, 0.429153, 0.722499, 0.457792, 0.727892, 0.739818
6.69366, 2.07113, 2.86002, 2.26196, 2.66721, 3.63938, 1533.72, 734.043
2.42447, 1.83077, 45.6418, 2.3615, 1.55339, 2.34252, 5.50816, 3.66051
0.906791, 0.556429, 423.476, 0.586022, 0.954855, 0.931647, 2.95328, 0.733968
0.613495, 0.539137, 0.626415, 0.499355, 0.636078, 0.61596, 2.50986, 0.935761
0.57679, 0.512685, 0.597269, 0.454988, 0.57765, 0.581366, 1.84275, 0.667681
0.723532, 0.590081, 2.0899, 0.566836, 0.705378, 0.696258, 4.22538, 0.699767
0.634523, 0.508542, 0.680201, 0.54447, 0.756369, 0.704672, 3.70354, 0.637358
0.803674, 0.714642, 0.745667, 0.719726, 0.997409, 1.95697, 3.60693, 1.37957
0.957011, 0.890741, 0.888017, 0.852495, 0.965475, 0.902668, 3.23645, 1.02825
46.1677, 1.60212, 2.0167, 2.24186, 45.0937, 1.59696, 2.48726, 1.81571
69.5357, 1.78575, 1.8399, 16.3698, 59.7, 1.96703, 1.99863, 1.57136
5.536, 1.77556, 70.222, 2.03675, 4.90058, 1.71064, 4.93713, 1.9653
3.90404, 3.25191, 604.417, 3.07609, 4.42317, 3.98597, 4.21004, 3.95902
3.3166, 3.51706, 4.75177, 2.43783, 3.88529, 4.86154, 4.33836, 3.99237
5.45792, 3.14283, 829.549, 2.30551, 4.62177, 5.71024, 3.03274, 3.21541
1.97241, 0.642938, 1.6236, 1.09496, 1.89801, 0.648382, 3.22357, 0.855025
3.53225, 1.47415, 2.48344, 1.44136, 1.89811, 1.66852, 3.56388, 1.59392
3.12997, 1.94615, 1072.74, 3.17305, 3.73143, 1.80278, 4.91325, 2.59574
1.11229, 0.763441, 1.12778, 0.898545, 0.873046, 1.01062, 1.94893, 1.10541
0.544835, 0.567071, 0.554559, 0.482434, 0.573868, 0.561307, 2.18327, 0.629253
1.38627, 1.71102, 6.74643, 2.124, 2.09238, 1.83675, 2.95173, 2.19765
0.952549, 0.627381, 1.37949, 0.555202, 0.619092, 0.646727, 1.15466, 1.06257
2.41615, 1.96254, 1.62858, 2.85899, 2.08642, 1.37855, 6.47853, 1.9312

Outside.NoTexture.rotation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
47.8006, 1.84659, 2.78303, 1.80161, 48.9715, 2.06634, 5888.29, 5085.15
43.4093, 9.47567, 8.29989, 9.08066, 41.7239, 11.0353, 6459.55, 6168.05
184.436, 4.23972, 3.97704, 5.1672, 195.503, 3.97064, 5.1826, 6.23845
212.491, 34.5727, 27.3102, 23.9841, 211.754, 28.5982, 25.1085, 21.2321
17.2809, 2.28773, 3.78097, 2.09445, 16.9783, 2.28468, 2.95921, 2.13365
5.78447, 7.46867, 7.13204, 5.55289, 5.80111, 4.56243, 6.46948, 6.14255
35.1953, 30.6918, 30.1084, 28.3678, 34.7024, 29.8051, 29.6039, 26.7506
63.047, 66.3229, 58.3224, 60.9797, 61.079, 58.8688, 70.4963, 63.968
157.465, 35.2809, 74.7693, 47.3573, 154.35, 36.8584, 39.5919, 47.3983
65.1346, 3.07721, 3.50474, 3.15716, 64.6577, 3.45506, 3.21118, 2.90044
58.5274, 27.8606, 39.9497, 27.7229, 56.1717, 30.6851, 32.1859, 29.821
93.063, 79.8226, 92.2559, 82.2659, 89.2963, 86.4265, 3036.11, 89.9434
40.4645, 95.8539, 4718.07, 23.3854, 40.8847, 25.7552, 34.1163, 25.0649
41.9214, 11.6087, 6284.79, 11.4046, 42.3911, 11.6244, 4223.09, 1910.63
1823.83, 86.2522, 84.1345, 248.095, 1882.17, 81.4052, 118.74, 88.8815
54.2945, 41.6421, 45.3871, 44.198, 57.7286, 46.1488, 46.0096, 47.8163
62.7566, 22.6802, 4836.64, 16.1571, 63.0363, 21.4265, 2679.64, 1627.43
47.0133, 40.1053, 44.8551, 35.4486, 47.2427, 41.4222, 43.2279, 35.5189
57.2072, 36.1967, 3745.56, 26.4831, 63.2873, 29.9182, 28.2565, 24.473
83.8328, 57.0374, 70.7515, 115.766, 84.9751, 100.152, 49.1009, 42.5244
167.977, 17.1266, 52.4865, 45.2865, 161.565, 35.6663, 19.0126, 17.9726
89.9619, 6.32146, 33.0045, 15.6798, 91.2839, 7.77089, 9.88745, 5.52586
50.2416, 4.33536, 26.6329, 2.89961, 50.1927, 3.14695, 3.64117, 2.68347
88.3112, 31.7143, 4380.62, 31.0472, 95.9098, 47.7633, 39.2518, 33.2391
84.8462, 53.3163, 66.6267, 34.5333, 79.1025, 55.6829, 69.3886, 35.7709

Outside.NoTexture.translation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
5.2241, 4.45528, 3.78917, 2.87565, 5.14227, 3.13276, 5.10033, 2.83168
25.9193, 3.43113, 3.43897, 2.19733, 26.1975, 2.66761, 2.6125, 1.98182
6.78903, 3.16155, 9.97583, 2.64962, 6.13369, 3.11089, 3.27422, 2.65637
4.69889, 1.61518, 6.47784, 2.78792, 4.78112, 2.98605, 2.61199, 1.7217
6.86843, 35.885, 5.68199, 2.76121, 6.52345, 3.98277, 3.83027, 2.6316
30.0506, 4.33214, 6.95626, 3.64511, 25.5967, 4.15663, 6.3388, 5.00302
9.50523, 4.05038, 6.07418, 3.18583, 9.78749, 3.87467, 6.95007, 3.18249
17.7474, 2.38168, 3.11045, 1.89303, 17.4544, 2.28923, 2.66961, 1.87618
19.4178, 3.2041, 5.32854, 3.6187, 19.2605, 3.70364, 6.00702, 2.34354
130.511, 36.8429, 11.304, 26.8118, 118.274, 6.95876, 6.2118, 4.52006
62.2377, 46.039, 58.6478, 40.7684, 63.3804, 47.9949, 51.4688, 37.2273
43.9431, 35.2206, 34.1224, 31.0019, 43.3373, 31.3169, 30.2838, 24.9896
6.86848, 2.47433, 5.98257, 1.94583, 7.08579, 2.83334, 6.18815, 2.18225
27.9519, 4.22162, 4.03768, 4.75249, 26.8125, 3.74444, 7.13644, 3.34108
16.6914, 5.09702, 9.1329, 4.65734, 17.2762, 8.00224, 9.07954, 6.26973
33.5732, 32.3285, 29.1047, 21.7543, 32.0488, 28.0441, 28.6691, 24.2962
42.7677, 30.0587, 33.2982, 21.7434, 42.7618, 37.5123, 30.1912, 22.5464
18.4864, 4.97394, 6.54959, 3.53953, 17.325, 4.98722, 6.8448, 3.32151
31.2647, 26.8674, 27.8896, 16.9352, 31.6692, 19.9032, 23.8166, 17.0008
45.0849, 34.3708, 38.1971, 29.5175, 45.0453, 32.1154, 34.8904, 25.1447
27.1566, 30.4621, 26.5941, 18.5202, 25.8718, 26.4257, 22.9676, 15.8053
23.0299, 9.57607, 15.9845, 5.97972, 23.5071, 11.9196, 14.4084, 6.09577
14.3337, 12.1438, 13.9767, 9.96527, 14.4322, 13.9616, 12.9554, 12.4202
18.7014, 19.3026, 18.4986, 10.5601, 16.5025, 13.5349, 13.5525, 10.4089
6.34264, 3.02123, 5.28713, 4.69305, 5.50015, 4.08853, 5.4016, 2.75572

Outside.TextureConfusion.rotation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
7.73556, 6.7226, 6.77976, 6.12193, 7.65212, 8.2419, 8.80934, 6.51413
8.59759, 6.34019, 7.46342, 6.48809, 8.00759, 7.89302, 9.08436, 6.3366
5.18911, 3.52116, 4.38443, 5.32239, 5.18752, 4.14679, 6.89013, 4.22723
3.66053, 3.42234, 3.73752, 3.58355, 3.68638, 4.36927, 4.34327, 3.52069
26.939, 140.428, 11.697, 9.23232, 24.4814, 16.6833, 16.4596, 10.8334
10.6453, 22.417, 158.835, 6.68738, 10.8781, 10.8423, 13.0846, 6.51822
75.8327, 72.0226, 79.3858, 65.0711, 72.4339, 76.2931, 71.798, 63.2822
7.33959, 9.96941, 9.99451, 6.80219, 7.15847, 9.09544, 10.8443, 8.19914
18.2294, 11.6245, 18.6868, 10.2328, 18.2305, 16.515, 13.4574, 11.0287
14.6945, 9.90744, 14.423, 8.57738, 14.3779, 12.6908, 2221.76, 8.81845
102.779, 76.6859, 80.8023, 53.8964, 80.3215, 58.7773, 1152.36, 1285.35
20.0975, 10.1055, 14.4178, 7.48444, 20.7322, 14.4555, 919.701, 7.74616
294.912, 8.63971, 19.2622, 9.79124, 284.069, 16.1589, 11.9071, 8.33458
69.9832, 35.6297, 33.5623, 32.9943, 60.2897, 31.6091, 903.012, 1619.39
46.0907, 6.75075, 7.54792, 7.18599, 43.2253, 16.5987, 1553.93, 6.87819
23.6384, 15.5354, 3196.65, 19.0347, 23.6214, 32.3198, 1538.51, 2441.27
72.232, 36.3246, 3839.66, 22.9036, 69.3308, 57.6639, 851.13, 24.805
103.971, 42.7189, 3865.37, 46.3778, 110.584, 58.7454, 1766.04, 54.3689
79.7269, 51.9, 4932.56, 47.3552, 79.2314, 54.2174, 548.505, 555.743
113.212, 139.165, 337.451, 73.7334, 109.979, 92.2796, 348.24, 78.9402
117.75, 112.071, 117.596, 49.3562, 125.427, 110.558, 474.873, 69.814
64.5607, 284.884, 7898.59, 64.3079, 68.4579, 93.5754, 560.93, 1523.35
67.6743, 58.1188, 98.6039, 52.8704, 64.0799, 87.0513, 1676.33, 11412.4
89.7408, 108.039, 476.447, 90.752, 92.5954, 101.348, 11377.6, 5008.32
106.359, 140.66, 6059.99, 65.4516, 106.801, 95.7189, 4108.93, 2171.8

Outside.TextureConfusion.Translation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
4.19729, 1.72428, 3.12911, 1.69049, 4.33396, 1.87923, 1.89885, 1.65786
2.15291, 1.69259, 12.1521, 1.76459, 2.12511, 2.24546, 2.12515, 1.72082
2.86689, 1.90298, 4.61651, 1.6426, 2.80773, 2.05722, 1.9997, 1.65454
13.792, 8.27435, 3351.3, 8.15485, 14.0665, 8.31951, 10.6096, 7.9205
3.58682, 5.13762, 6.54143, 2.52209, 4.0107, 2.78665, 4.10974, 2.81721
18.5344, 8.69274, 12.8507, 9.25268, 18.0779, 10.5445, 31.2504, 15.9776
4.24435, 5.0277, 6005.71, 3.6357, 4.51827, 3.95577, 3.98221, 3.52637
5.59697, 4.15225, 6172.5, 2.58841, 5.79317, 3.05716, 5.1062, 2.55929
5.21521, 4.04899, 8.34626, 2.91126, 4.9353, 2.88779, 5.92181, 3.00292
12.158, 8.73211, 16.8692, 8.14073, 12.2223, 8.70405, 11.0259, 8.15402
5.29949, 4.58267, 6667.72, 5.55393, 5.69378, 4.23293, 1650.99, 2189.64
5.16038, 3.32793, 4.01337, 3.28588, 5.1805, 3.56445, 7896.97, 2466.45
19.0196, 14.7528, 17.5591, 15.493, 21.0475, 14.9841, 4272.56, 1418.08
5.62363, 3.6903, 6005.81, 3.85413, 5.67318, 3.80682, 10.2, 3.78611
6.78291, 5.62156, 2056.18, 4.60869, 6.43011, 4.89108, 5.70437, 5.56208
8.29725, 7.04072, 14.1021, 6.52783, 9.07474, 8.18662, 1425.25, 1018.79
6.83504, 5.12576, 6698.12, 5.40332, 6.95392, 5.1557, 1919.57, 8240.5
13.5052, 8.57685, 10.2721, 7.98296, 13.5883, 10.735, 22.8406, 7.57126
61.3095, 52.1419, 90.4378, 55.496, 60.6255, 57.7131, 4480.15, 1093.32
68.1089, 73.6755, 6741.49, 68.6732, 73.1515, 73.9153, 78.6621, 79.4414
117.116, 112.083, 754.983, 104.491, 132.053, 109.412, 10488.3, 4159.91
55.1499, 49.131, 70.1649, 42.8874, 56.6243, 48.1625, 220.951, 44.9414
22.6168, 7.35405, 44.0967, 7.23223, 10.8088, 12.6668, 1346.07, 76.7583
8.20677, 31.562, 7.73686, 5.52633, 8.13841, 4.84825, 11822.2, 297.745
31.9053, 34.1203, 56.3368, 37.6874, 42.4177, 40.9637, 27668.5, 10598.3

PlantsOutdoors.tc.rotation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
4.49054, 2.55732, 4.42487, 2.95714, 4.00723, 2.65909, 2.75638, 2.70779
10.6018, 10.3656, 19.8847, 8.33061, 9.52274, 8.43629, 10.8564, 11.2805
10.3734, 3.00031, 6.48688, 5.2412, 8.97264, 2.73456, 14.6995, 3.4649
25.9544, 21.6694, 32.9562, 21.8905, 19.4474, 27.6285, 22.0766, 32.0294
41.1452, 33.3789, 56.3172, 78.0834, 66.8991, 50.9087, 40.3887, 34.3234
7.20376, 3.86641, 4.98226, 4.54902, 6.72945, 3.04801, 3.66766, 3.56055
13.378, 11.8401, 17.4259, 15.3638, 12.6712, 10.6248, 14.241, 15.5225
55.9117, 42.5371, 34.8465, 41.3595, 40.9295, 34.3402, 45.6482, 30.0031
39.3458, 3.63932, 4.47827, 17.2541, 41.6625, 2.94725, 33.1813, 10.1297
76.4544, 7.1533, 10.4526, 65.0799, 76.8523, 8.03806, 356.333, 148.466
51.8283, 29.5472, 400.961, 50.8403, 30.0176, 18.1325, 228.439, 74.6595
19.0686, 16.1673, 2112.65, 19.1989, 17.4436, 12.1258, 13.1795, 13.9427
45.9975, 32.2688, 41.2437, 38.1597, 57.9659, 28.6413, 46.6088, 24.385
17.0293, 7.89195, 7.75288, 15.7119, 16.1029, 7.31111, 12.8303, 8.81118
10.2334, 11.7151, 11.2167, 8.5432, 11.1437, 9.69716, 2501.36, 1578.23
9.32366, 4.45467, 813.342, 5.07154, 8.94859, 3.92752, 102.845, 15.8468
26.9031, 13.9242, 16.99, 15.5081, 24.7518, 13.8053, 1959.81, 631.471
19.1113, 8.27694, 8.37425, 10.0463, 21.8622, 5.7231, 730.693, 2582.06
93.4534, 15.7766, 17.071, 50.31, 99.7687, 19.2777, 4466.57, 3716.69
150.835, 8.09791, 8.66063, 75.7821, 169.654, 8.16832, 1890.18, 3448.8
12.7513, 10.5152, 479.63, 11.3314, 13.4404, 10.9979, 673.596, 32.0672
46.777, 5.6212, 83.696, 5.57286, 47.5455, 3.396, 3660.71, 851.577
192.438, 3.35036, 16.0118, 37.2238, 200.123, 2.44285, 945.372, 313.866
241.478, 7.99557, 9.91306, 101.899, 245.877, 7.63288, 17.7036, 8.6746
41.4333, 35.2964, 39.5759, 35.2107, 51.4496, 52.8024, 653.865, 58.3037

