Apartment.Texture.rotate
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.368343, 0.377209, 0.368343, 0.356255, 0.354344, 0.358653, 0.468556, 0.472062
0.171384, 0.217825, 0.171384, 0.162072, 0.180623, 0.180119, 0.497624, 0.227135
0.361255, 0.523274, 0.361255, 0.2564, 0.353301, 0.191083, 0.416933, 1.20578
0.156957, 0.317561, 0.156957, 0.135447, 0.154929, 0.148005, 0.304658, 0.328781
0.186515, 0.248751, 0.186515, 0.143777, 0.198244, 0.20641, 0.234956, 0.155491
0.429164, 0.232502, 0.429164, 0.200499, 0.20636, 0.304276, 0.260068, 0.436432
0.253059, 0.219177, 0.253059, 0.316547, 0.283258, 0.282221, 0.479571, 0.22068
0.143192, 0.17907, 0.143192, 0.158788, 0.163562, 0.141427, 0.388569, 0.190319
0.342952, 0.497713, 0.342952, 0.516172, 0.340759, 0.291443, 249.25, 8.42245
0.3554, 0.263444, 0.3554, 0.268546, 0.400138, 0.262186, 100.067, 211.28

Boxes.Texture.rotate
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.16759, 0.205763, 0.17159, 0.155699, 0.176076, 0.168267, 0.178795, 0.193736
0.183358, 0.28936, 0.182726, 0.196295, 0.162825, 0.158292, 0.488565, 0.304201
0.195317, 0.282948, 0.216576, 0.178843, 0.274232, 0.220316, 1.43134, 0.693333
0.195953, 0.260971, 0.193355, 0.203684, 0.229025, 0.1996, 0.271349, 1.67486
0.319438, 0.297929, 0.250202, 0.316426, 0.278239, 0.245594, 0.765588, 0.476309
0.862298, 1.13841, 0.673208, 0.382355, 0.407814, 0.439171, 1.46554, 0.428968
1.05351, 0.856551, 1.0894, 0.929007, 0.95295, 0.89994, 124.222, 4.2039
0.703812, 0.456745, 0.659886, 0.469468, 0.822888, 0.530819, 0.771911, 0.592229
0.445202, 0.232322, 0.471688, 0.478152, 0.400443, 0.25292, 0.238731, 0.289048
0.466212, 0.322472, 0.453822, 0.376313, 0.447307, 0.368314, 0.483309, 0.595255
0.54541, 0.244723, 0.504362, 0.249401, 0.559398, 0.303627, 0.290674, 0.284683
0.303246, 0.363166, 0.300441, 0.240993, 0.354118, 0.346705, 0.346997, 0.392604
1.62954, 0.905914, 1.67764, 1.41919, 1.63395, 0.656725, 1.2188, 1.27352
0.39503, 0.349834, 0.517953, 0.365979, 0.378309, 0.35757, 1.4215, 5.8683
0.296319, 0.286254, 0.289215, 0.245474, 0.285915, 0.292414, 0.396674, 0.437007
0.33986, 0.463671, 0.360738, 0.34012, 0.459806, 0.427687, 0.257926, 0.318897
0.367296, 0.33863, 0.365218, 0.252029, 0.330291, 0.347868, 0.567095, 0.433406
0.528989, 0.505176, 0.433193, 0.317774, 0.528996, 0.552745, 0.639953, 0.392915
3.76976, 1.04675, 1.8744, 0.945699, 3.50111, 0.859329, 2.83233, 0.92344
0.732298, 0.476896, 0.542342, 0.361466, 0.554411, 0.685986, 0.739743, 0.966236
1.7397, 0.594936, 1.77957, 0.649068, 2.04964, 0.991227, 109.469, 37.8088
4.32621, 0.736946, 4.87672, 1.0744, 4.46049, 0.819894, 0.756465, 0.753512
1.39768, 0.564095, 257.498, 0.890072, 1.33279, 0.672291, 86.0079, 280.779
1.79037, 1.53324, 209.342, 1.90345, 1.78303, 1.40072, 2.35104, 1.42325
2.7463, 1.60828, 2.88385, 0.815703, 2.17709, 1.06956, 2.18328, 0.944499

Boxes.Texture.zoomOut
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.243114, 0.277738, 0.232923, 0.232682, 0.236213, 0.261523, 0.779985, 0.251463
0.305508, 0.317276, 0.283798, 0.34901, 0.324019, 0.406877, 0.434752, 0.280613
0.27891, 0.367218, 0.305255, 0.381911, 0.390045, 0.347383, 0.923076, 0.356222
0.157845, 0.169697, 0.154289, 0.173623, 0.12738, 0.151855, 0.210903, 0.577759
0.260754, 0.259873, 0.130604, 0.132308, 0.176414, 0.136613, 4.44284, 0.937279
0.199375, 0.165846, 0.155405, 0.13241, 0.169725, 0.18475, 0.98206, 1.06577
0.167134, 0.183479, 0.180155, 0.206878, 0.197907, 0.183434, 0.532413, 0.352463
0.140752, 0.187759, 0.172189, 0.113992, 0.131668, 0.127699, 0.175874, 0.365797
0.151328, 0.204709, 0.169002, 0.143017, 0.144578, 0.163954, 0.618613, 0.220122
0.228467, 0.22572, 0.148566, 0.196725, 0.149865, 0.18583, 1.08881, 1.96151
0.180528, 0.202356, 0.167328, 0.168893, 0.18472, 0.171951, 0.227177, 0.200411
0.196872, 0.288771, 0.235134, 0.141165, 0.167134, 0.168504, 1.45787, 0.799404
0.146717, 0.161488, 0.160241, 0.144838, 0.191517, 0.140728, 0.546711, 0.866313
0.162646, 0.130409, 0.15419, 0.173934, 0.173443, 0.152218, 0.139856, 0.742341
0.165666, 0.370984, 0.160622, 0.132413, 0.161214, 0.163207, 0.141205, 0.131734
0.143702, 0.120394, 0.13716, 0.136743, 0.145487, 0.136357, 0.158772, 0.159236
0.15524, 0.185494, 0.174964, 0.184234, 0.170097, 0.142603, 0.18669, 0.200657
0.239789, 0.208914, 0.238517, 0.158648, 0.268739, 0.302968, 0.771973, 1.64702
0.241716, 0.250833, 0.258127, 0.153613, 0.19697, 0.288238, 0.199668, 0.431479
0.237976, 0.186669, 0.256154, 0.197887, 0.217104, 0.262759, 0.136311, 0.183751
0.194968, 0.217903, 0.180894, 0.176457, 0.19899, 0.188264, 0.156605, 0.431068
0.204182, 0.222165, 0.21931, 0.230081, 0.251772, 0.203226, 0.192565, 0.271922
0.357967, 0.19743, 0.312448, 0.190358, 0.286592, 0.305882, 0.499268, 0.406428
0.202701, 0.247854, 0.238604, 0.200817, 0.215907, 0.212979, 0.230628, 0.299148
0.203165, 0.194155, 0.217792, 0.172646, 0.204429, 0.240738, 0.323986, 0.210601

Desk.Texture.Translation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
0.387445, 0.388703, 0.383168, 0.346309, 0.411031, 0.416506, 0.633928, 0.670767
0.625654, 0.497108, 0.61714, 0.340085, 0.607844, 0.323227, 0.356939, 0.36822
0.547213, 0.456385, 0.396759, 0.485472, 0.3815, 0.37408, 0.576953, 0.446519
0.796248, 0.982953, 4.20435, 0.889742, 0.663665, 0.816855, 1.0396, 1.29153
1.30639, 1.1719, 1.26294, 0.864778, 1.55895, 0.696229, 1.07719, 0.804711
0.570267, 0.598617, 0.647148, 0.787177, 0.610918, 0.497777, 1.13895, 0.911964
1.95981, 1.52326, 0.91551, 1.01967, 1.91011, 1.00015, 1.68085, 1.13521
0.655868, 0.647146, 0.662609, 0.689951, 0.742004, 0.508129, 0.877283, 0.74105
2.03701, 1.56913, 2.97026, 1.59333, 2.59575, 1.41118, 2.7555, 1.48886
1.60263, 0.959205, 3.52936, 0.88809, 2.00856, 0.97112, 1.64383, 0.910121
26.2152, 25.5975, 26.3085, 24.5915, 28.5939, 25.3304, 25.7686, 24.9827
24.2531, 16.1051, 15.2324, 10.7836, 14.4535, 15.5121, 18.8727, 12.4093
77.0471, 67.0932, 82.7405, 67.1163, 68.4315, 72.5779, 86.7985, 80.6937
14.8528, 13.5163, 14.462, 9.64744, 12.7418, 11.9743, 18.953, 9.46284
8.28296, 8.15222, 9.02038, 7.05394, 8.10216, 8.43303, 8.98219, 7.15222
32.5041, 36.7513, 32.4789, 29.2132, 32.4243, 34.8077, 52.3714, 27.3668
0.458661, 0.707899, 0.542078, 0.500123, 0.462259, 0.604385, 0.534117, 0.488927
1.07722, 0.593996, 3.44126, 0.535558, 1.12877, 0.528114, 0.985256, 0.686462
2.05516, 2.39013, 5.39774, 2.73399, 2.38362, 1.5569, 4.07764, 1.85749
2.39856, 2.48787, 3.92636, 1.92012, 2.27423, 5.6604, 5.64733, 3.55674
2.27127, 1.01758, 1.63701, 2.06358, 2.10566, 1.14075, 84.0901, 554.468
3.25975, 2.4193, 3.62187, 2.91409, 4.62651, 2.11191, 55.8885, 1.99396
28.3211, 3.93456, 41.2914, 7.24914, 25.1156, 3.26199, 3.67992, 3.58051
3.00641, 0.690081, 1026.7, 0.7848, 3.2923, 0.618047, 2.42559, 1.43777
1.42504, 0.985032, 1.33505, 0.91483, 1.34459, 1.83093, 2.34474, 1.08546

IndoorSpace.tc.translation
none, FM, FM-3D, ICP, PCA, PC, PC2, PC3
2.15519, 1.50148, 1.57324, 1.23416, 2.31039, 1.2193, 2.32104, 1.00896
1.8725, 1.63363, 1.89533, 1.375, 2.0256, 1.60867, 1.72436, 1.41052
2.39506, 1.38538, 3.85713, 1.34251, 2.37501, 1.66622, 2.63789, 1.31451
1.46353, 1.41446, 4.33757, 1.3251, 1.39674, 6.15371, 3.27139, 1.47791
1.13446, 1.35977, 1.12962, 1.10379, 1.16873, 1.08616, 2.71595, 1.12306
1.79668, 1.78647, 1.7193, 1.65307, 1.67918, 1.7692, 2.65187, 1.95539
2.01075, 2.31332, 1.83671, 1.59592, 2.06468, 1.85942, 2.63902, 1.49226
2.49418, 2.94018, 2.2807, 2.17448, 2.47983, 3.03838, 3.50769, 1.92421
206.452, 2.28805, 3.18978, 64.5774, 195.156, 1.68636, 3.54664, 2.21825
5.53792, 3.04137, 2.6838, 2.74225, 4.8365, 2.93551, 9.88922, 3.16702
