type,No. bits,psnr
ot,9,78.3311
ot,6417,78.7214
ot,21393,79.1845
ot,77553,80.3008
ot,78633,80.3009
ot,80001,80.301
ot,83745,80.3015
ot,283617,95.1846
ot,286569,95.6012
ot,291969,96.0164
ot,296793,96.3145
ot,297585,96.3267
ot,305649,100.5
ot,305865,100.518
ot,306297,100.634
ot,306657,100.738
ot,306801,100.748
ot,307017,100.758
ot,308529,101.208
ot,314217,103.412
ot,314433,103.466
ot,314721,103.71
ot,314721,103.71
ot,315009,103.769
